invoiceDate,amount
2020-12-27,34595.4
2021-01-03,16885.850000000002
2021-01-10,6589.6
2021-01-17,34595.4
2021-01-24,21416.2
2021-01-31,34183.55
2021-02-07,18203.77
2021-02-14,23063.6
2021-02-21,6589.6
2021-02-28,7413.3
2021-03-07,12355.5
2021-03-14,13343.94
2021-03-21,8237.0
2021-03-28,12355.5
2021-04-04,23063.6
2021-04-11,9060.7
2021-04-18,4612.72
2021-04-25,6589.6
2021-05-02,10708.1
2021-05-09,823.7
2021-05-16,3294.8
2021-05-23,9884.4
2021-05-30,1894.5100000000002
2021-06-06,1647.4
2021-06-13,16309.26
2021-06-20,14002.900000000001
2021-06-27,13426.31
2021-07-04,8237.0
2021-07-11,16144.52
2021-07-18,5189.31
2021-07-25,16474.0
2021-08-01,6589.6
2021-08-08,7825.15
2021-08-15,16391.63
2021-08-22,8237.0
2021-08-29,10708.1
2021-09-05,4118.5
2021-09-12,25122.85
2021-09-19,7660.41
2021-09-26,11531.8
2021-10-03,19768.8
2021-10-10,6589.6
2021-10-17,3541.9100000000003
2021-10-24,26358.4
2021-10-31,3294.8
2021-11-07,32453.780000000002
2021-11-14,10708.1
2021-11-21,33167.28
2021-11-28,14167.64
2021-12-05,3525.42
2021-12-12,36901.2
2021-12-19,22667.88
2021-12-26,43051.399999999994
2022-01-02,18714.18
2022-01-16,15814.8
2022-01-23,16956.98
2022-01-30,6150.200000000001
2022-02-06,5095.88
2022-02-13,21877.14
2022-02-20,9840.32
2022-02-27,10191.76
2022-03-06,18626.32
2022-03-13,1581.48
2022-03-20,19329.2
2022-03-27,16869.120000000003
2022-04-03,35759.020000000004
2022-04-10,4393.0
2022-04-17,15990.52
2022-04-24,16144.36
2022-05-01,2635.8
2022-05-08,4832.3
2022-05-15,12124.68
2022-05-22,15814.800000000001
2022-05-29,14936.2
2022-06-05,11773.240000000002
2022-06-12,9664.6
2022-06-19,14936.2
2022-06-26,12300.400000000001
2022-07-03,6589.5
2022-07-17,17572.0
2022-07-24,9840.32
2022-07-31,10543.2
2022-08-07,16517.68
2022-08-14,0.0
2022-08-21,38658.4
2022-08-28,10367.48
2022-09-04,5798.76
2022-09-11,24600.800000000003
2022-09-18,14057.6
2022-09-25,439.3
2022-10-02,54473.2
2022-10-09,5183.74
2022-10-16,7028.8
2022-10-23,439.3
2022-10-30,14057.6
2022-11-06,25040.1
2022-11-13,12915.42
2022-11-20,17132.7
2022-11-27,50080.2
2022-12-04,2547.94
2022-12-11,27236.6
2022-12-18,13179.0
2022-12-25,50255.92
2023-01-01,4832.3
2023-01-08,5359.46
2023-01-15,15990.52
2023-01-22,36461.9
2023-01-29,9049.58
2023-02-05,12300.4
2023-02-12,19329.2
2023-02-19,11421.8
2023-02-26,15814.8
2023-03-05,4744.4400000000005
2023-03-12,11861.0
2023-03-19,13178.4
2023-03-26,19767.6
2023-04-02,21964.0
2023-04-09,5820.46
2023-04-16,7687.4
2023-04-23,14606.06
2023-04-30,4392.8
2023-05-07,56227.84
2023-05-14,7687.4
2023-05-21,60291.18
2023-05-28,4392.8
2023-06-04,7687.4
2023-06-11,18669.4
2023-06-18,5491.0
2023-06-25,20097.059999999998
2023-07-02,23391.66
2023-07-09,35581.68
2023-07-16,8785.6
2023-07-23,25258.6
2023-07-30,3294.6
2023-08-06,16473.0
2023-08-13,9115.06
2023-08-20,14056.960000000001
2023-08-27,30068.72
2023-09-10,12080.2
2023-09-17,8785.6
2023-09-24,23281.84
2023-10-01,19438.14
2023-10-08,18889.04
2023-10-15,37338.8
2023-10-22,18669.4
2023-10-29,46124.4
2023-11-05,24160.4
2023-11-12,6589.2
2023-11-19,36240.6
2023-11-26,19767.6
2023-12-03,32946.0
2023-12-10,6259.74
2023-12-17,14496.24
2023-12-24,29651.399999999998
2023-12-31,8675.779999999999
2024-01-07,37997.72
2024-01-14,32506.719999999998
2024-01-21,12519.48
2024-01-28,25917.519999999997
2024-02-04,56996.58
2024-02-11,8126.68
2024-02-18,15155.16
2024-02-25,58863.52
2024-03-03,24380.04
2024-03-10,21744.36
2024-03-17,16473.0
2024-03-24,6589.2
2024-03-31,21744.36
2024-04-07,23391.66
2024-04-14,9883.8
2024-04-21,50077.92
2024-04-28,7687.4
2024-05-05,5820.46
2024-05-12,7467.76
2024-05-19,52713.6
2024-05-26,28553.2
2024-06-02,28553.2
2024-06-16,3294.6000000000004
2024-06-23,30749.6
2024-06-30,2196.4
2024-07-07,8785.6
2024-07-14,5491.0
2024-07-21,45026.4
2024-07-28,13178.4
2024-08-04,0.0
2024-08-11,10982.0
2024-08-18,6040.1
2024-08-25,14056.96
2024-09-01,28750.4
2024-09-08,58708.8
2024-09-15,5798.4
2024-09-22,14616.8
2024-09-29,16308.0
2024-10-06,33340.8
2024-10-13,38414.4
2024-10-20,38535.2
2024-11-03,1449.6
2024-11-10,28992.0
2024-11-17,53635.2
2024-11-24,24643.2
2024-12-01,20777.6
2024-12-08,16912.0
2024-12-15,48924.0
2024-12-22,16187.2
2024-12-29,26576.0
2025-01-05,20173.6
2025-01-12,9664.0
