invoiceDate,amount
2021-01-01,218574.69
2021-01-02,669631.13
2021-01-04,280638.87
2021-01-05,585063.23
2021-01-06,143301.62
2021-01-07,258588.84
2021-01-08,227433.04
2021-01-09,152711.54
2021-01-11,188304.5
2021-01-12,194679.8
2021-01-13,335583.95
2021-01-15,247548.95
2021-01-16,191593.0
2021-01-18,804639.49
2021-01-19,436489.83
2021-01-20,239142.29
2021-01-21,308243.39
2021-01-22,116916.67
2021-01-23,263393.81
2021-01-25,477668.81
2021-01-26,350726.67
2021-01-27,312698.57
2021-01-28,177192.71
2021-01-29,148308.55
2021-01-30,174449.28
2021-02-01,632551.17
2021-02-02,563377.57
2021-02-03,533976.42
2021-02-04,385624.93
2021-02-05,183762.14
2021-02-06,241280.16
2021-02-08,189938.58
2021-02-09,286276.91
2021-02-10,142218.12
2021-02-11,531885.15
2021-02-12,508985.88
2021-02-13,156608.76
2021-02-15,212311.83
2021-02-16,165352.8
2021-02-17,68740.33
2021-02-18,782897.01
2021-02-19,82409.55
2021-02-20,464651.21
2021-02-22,376180.78
2021-02-23,317505.19
2021-02-24,487935.55
2021-02-25,179292.12
2021-02-26,361053.7
2021-02-27,145896.6
2021-03-01,156509.98
2021-03-02,217039.92
2021-03-03,1045112.4
2021-03-04,279134.62
2021-03-05,428952.73
2021-03-06,329122.24
2021-03-08,168533.43
2021-03-09,159316.4
2021-03-10,196990.55
2021-03-11,212541.27
2021-03-12,206868.43
2021-03-13,270308.14
2021-03-15,217249.13
2021-03-16,431113.45
2021-03-17,188132.69
2021-03-18,504099.64
2021-03-19,491736.85
2021-03-20,487128.66
2021-03-22,261051.68
2021-03-23,350830.22
2021-03-24,59027.020000000004
2021-03-25,75110.52
2021-03-26,86120.7
2021-03-27,577285.76
2021-03-30,37273.5
2021-03-31,154273.25
2021-04-01,650951.1
2021-04-02,623355.76
2021-04-03,1025024.09
2021-04-05,612203.39
2021-04-06,534812.78
2021-04-07,266980.08
2021-04-08,271760.25
2021-04-09,359109.52
2021-04-10,253053.13999999998
2021-04-12,259400.69999999998
2021-04-13,576293.6
2021-04-14,265377.41
2021-04-15,358118.17
2021-04-16,251333.11
2021-04-17,247694.64
2021-04-19,369550.59
2021-04-20,325210.36
2021-04-21,262968.52
2021-04-22,409493.8
2021-04-23,166623.96
2021-04-24,214661.41
2021-04-26,110700.6
2021-04-27,257951.21
2021-04-28,335909.66
2021-04-29,227732.03
2021-04-30,534373.64
2021-05-01,367398.1
2021-05-03,427612.87
2021-05-04,180347.7
2021-05-05,164233.23
2021-05-06,240301.6
2021-05-07,207669.28
2021-05-08,201226.82
2021-05-10,263215.79
2021-05-11,100775.05
2021-05-12,98481.0
2021-05-13,379106.17
2021-05-14,96233.36
2021-05-15,134322.74
2021-05-17,357432.83
2021-05-19,400194.26
2021-05-20,430762.12
2021-05-21,102479.1
2021-05-22,121829.12
2021-05-24,232492.9
