invoiceDate,amount
2021-01-01,437149.38
2021-01-02,1339262.26
2021-01-03,0.0
2021-01-04,561277.74
2021-01-05,1170126.46
2021-01-06,286603.24
2021-01-07,517177.68
2021-01-08,454866.08
2021-01-09,305423.08
2021-01-10,0.0
2021-01-11,376609.0
2021-01-12,389359.6
2021-01-13,671167.9
2021-01-14,0.0
2021-01-15,495097.9
2021-01-16,383186.0
2021-01-17,0.0
2021-01-18,1609278.98
2021-01-19,872979.66
2021-01-20,478284.58
2021-01-21,616486.78
2021-01-22,233833.34
2021-01-23,526787.62
2021-01-24,0.0
2021-01-25,955337.62
2021-01-26,701453.34
2021-01-27,625397.14
2021-01-28,354385.42
2021-01-29,296617.1
2021-01-30,348898.56
2021-01-31,0.0
2021-02-01,1265102.34
2021-02-02,1126755.14
2021-02-03,1067952.84
2021-02-04,771249.86
2021-02-05,367524.28
2021-02-06,482560.32
2021-02-07,0.0
2021-02-08,379877.16
2021-02-09,572553.82
2021-02-10,284436.24
2021-02-11,1063770.3
2021-02-12,1017971.76
2021-02-13,313217.52
2021-02-14,0.0
2021-02-15,424623.66
2021-02-16,330705.6
2021-02-17,137480.66
2021-02-18,1565794.02
2021-02-19,164819.1
2021-02-20,929302.42
2021-02-21,0.0
2021-02-22,752361.56
2021-02-23,635010.38
2021-02-24,975871.1
2021-02-25,358584.24
2021-02-26,722107.4
2021-02-27,291793.2
2021-02-28,0.0
2021-03-01,313019.96
2021-03-02,434079.84
2021-03-03,2090224.8
2021-03-04,558269.24
2021-03-05,857905.46
2021-03-06,658244.48
2021-03-07,0.0
2021-03-08,337066.86
2021-03-09,318632.8
2021-03-10,393981.1
2021-03-11,425082.54
2021-03-12,413736.86
2021-03-13,540616.28
2021-03-14,0.0
2021-03-15,434498.26
2021-03-16,862226.9
2021-03-17,376265.38
2021-03-18,1008199.28
2021-03-19,983473.7
2021-03-20,974257.32
2021-03-21,0.0
2021-03-22,522103.36
2021-03-23,701660.44
2021-03-24,118054.04
2021-03-25,150221.04
2021-03-26,172241.4
2021-03-27,1154571.52
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,74547.0
2021-03-31,308546.5
2021-04-01,1301902.2
2021-04-02,1246711.52
2021-04-03,2050048.18
2021-04-04,0.0
2021-04-05,1224406.78
2021-04-06,1069625.56
2021-04-07,533960.16
2021-04-08,543520.5
2021-04-09,718219.04
2021-04-10,506106.28
2021-04-11,0.0
2021-04-12,518801.4
2021-04-13,1152587.2
2021-04-14,530754.82
2021-04-15,716236.34
2021-04-16,502666.22
2021-04-17,495389.28
2021-04-18,0.0
2021-04-19,739101.18
2021-04-20,650420.72
2021-04-21,525937.04
2021-04-22,818987.6
2021-04-23,333247.92
2021-04-24,429322.82
2021-04-25,0.0
2021-04-26,221401.2
