,sales
2021-01-01,387590.4515507945
2021-01-02,265671.4816161159
2021-01-03,252898.67631948198
2021-01-04,508985.5933974197
2021-01-05,999187.226502319
2021-01-06,787708.5495360066
2021-01-07,593176.4320623039
2021-01-08,505450.7649493615
2021-01-09,225938.48511615588
2021-01-10,296109.8568304662
2021-01-11,731228.6486039094
2021-01-12,743305.2419669427
2021-01-13,605934.5628565999
2021-01-14,642201.4771292488
2021-01-15,407918.01858850196
2021-01-16,121940.13074782971
2021-01-17,154289.676978492
2021-01-18,409118.47867817304
2021-01-19,604424.946312278
2021-01-20,566238.2998150687
2021-01-21,399396.0580690708
2021-01-22,361214.60892262554
2021-01-23,109033.2845795514
2021-01-24,218913.1115679878
2021-01-25,387524.5533374772
2021-01-26,579695.5428924336
2021-01-27,570675.5747800542
2021-01-28,457833.31856387545
2021-01-29,353916.2135763058
2021-01-30,190864.83498350246
2021-01-31,300224.29123788245
2021-02-01,470754.55946733896
2021-02-02,832337.9614166974
2021-02-03,668852.2982535106
2021-02-04,393725.8033958363
2021-02-05,391408.92865721503
2021-02-06,260861.7402959496
2021-02-07,476113.6092904574
2021-02-08,509530.53083519405
2021-02-09,869773.4744151437
2021-02-10,666968.1894861582
2021-02-11,496989.2031213648
2021-02-12,313144.5852140052
2021-02-13,83935.38678619057
2021-02-14,258562.50204616104
2021-02-15,587219.7198845389
2021-02-16,768236.3154570193
2021-02-17,656541.2694455838
2021-02-18,548567.2472181158
2021-02-19,360817.6371991493
2021-02-20,49726.63851180225
2021-02-21,249207.95552185952
2021-02-22,483763.33905923023
2021-02-23,610804.2267131621
2021-02-24,740576.9889747559
2021-02-25,469047.7462251004
2021-02-26,156619.81938266676
2021-02-27,66393.45079099218
2021-02-28,57652.14462019107
2021-03-01,541062.5274920414
2021-03-02,677350.8465933519
2021-03-03,860457.3927555714
2021-03-04,655159.8986631137
2021-03-05,579699.3282963312
2021-03-06,295513.37259855575
2021-03-07,315619.4361507594
2021-03-08,643946.4748854613
2021-03-09,850869.8029286691
2021-03-10,781663.4500838355
2021-03-11,675936.3568053584
2021-03-12,416205.6502130754
2021-03-13,237595.50769633387
2021-03-14,415269.67733035306
2021-03-15,580419.0446024778
2021-03-16,691353.9583221109
2021-03-17,529879.5725975287
2021-03-18,664069.8527098843
2021-03-19,365690.5667256523
2021-03-20,50000.0
2021-03-21,263551.5104534478
2021-03-22,417025.0922108105
2021-03-23,609084.6485400109
2021-03-24,415758.34102487937
2021-03-25,377436.4355053984
2021-03-26,248877.688904164
2021-03-27,170421.34684838803
2021-03-28,258067.8665852189
2021-03-29,641980.5657849666
2021-03-30,761039.2448837351
2021-03-31,635900.4588539271
2021-04-01,605426.421227761
2021-04-02,424328.1618481409
2021-04-03,182336.38502648383
2021-04-04,328933.3845229879
2021-04-05,668752.3392047139
2021-04-06,776236.3500522763
2021-04-07,779906.3232957646
2021-04-08,756425.2320060666
2021-04-09,444847.20333355776
2021-04-10,464761.0787761294
2021-04-11,324081.17058402457
2021-04-12,548926.4398291785
2021-04-13,653866.533078211
2021-04-14,827998.5374180942
2021-04-15,633780.3831368709
2021-04-16,432318.46125094267
2021-04-17,110428.85837651038
2021-04-18,371738.35567115084
2021-04-19,460066.50551516004
2021-04-20,653063.136036294
2021-04-21,534592.1353788967
2021-04-22,449829.031128949
2021-04-23,356017.34140077006
2021-04-24,175647.52048368478
2021-04-25,236685.5103610596
2021-04-26,534776.7144713587
2021-04-27,507680.26020819234
2021-04-28,740152.9460453048
2021-04-29,638548.0931936011
2021-04-30,496881.54451509484
2021-05-01,270030.06218805327
2021-05-02,243141.70914701093
2021-05-03,414324.3864304006
2021-05-04,749786.5733202329
2021-05-05,869984.3169184406
2021-05-06,655768.2646922381
2021-05-07,427059.9234515545
2021-05-08,282092.633921401
2021-05-09,380352.00679463445
2021-05-10,640329.1892483698
2021-05-11,662856.4049485738
2021-05-12,727773.3219612081
2021-05-13,545175.8250984859
2021-05-14,408919.88568354875
2021-05-15,137479.9811440487
2021-05-16,225240.76262530932
2021-05-17,537521.7700389064
2021-05-18,636892.3094870207
2021-05-19,554071.3739462447
2021-05-20,508949.6297507265
2021-05-21,266599.7349388149
2021-05-22,84750.16143318759
2021-05-23,51987.82076395888
2021-05-24,374754.31671997433
2021-05-25,489408.6955243333
2021-05-26,727349.0891738021
2021-05-27,523853.23087826365
2021-05-28,525864.5630368406
2021-05-29,8044.130086132442
2021-05-30,339348.8451815259
2021-05-31,529727.2080330364
2021-06-01,615808.7364492135
2021-06-02,725231.7124287131
2021-06-03,706347.7329295415
2021-06-04,492072.5030378843
2021-06-05,400757.5416649774
2021-06-06,512650.94213277084
2021-06-07,770215.564000556
2021-06-08,761860.6330392561
2021-06-09,843362.4680826813
2021-06-10,570405.6297982618
2021-06-11,175257.52148757724
2021-06-12,75920.31501604762
2021-06-13,285912.85070911533
2021-06-14,670779.495137109
2021-06-15,665758.621690052
2021-06-16,781221.3882927455
2021-06-17,510797.8943505066
2021-06-18,324305.7209412434
2021-06-19,150440.99124716967
2021-06-20,143834.73751229717
2021-06-21,267618.7563337984
2021-06-22,590116.493555892
2021-06-23,613150.455705373
2021-06-24,472899.3169166497
2021-06-25,273611.9412141707
2021-06-26,121619.98874739073
2021-06-27,179947.52943106185
2021-06-28,456613.15930220525
2021-06-29,702955.0264738945
2021-06-30,751749.6826376406
2021-07-01,607523.6494549242
2021-07-02,515776.0456475896
2021-07-03,261546.34501649413
2021-07-04,315721.0765657581
2021-07-05,699523.4503214823
2021-07-06,834095.014580793
2021-07-07,918263.2044836112
2021-07-08,678412.4547514269
2021-07-09,462825.42187589343
2021-07-10,236777.36125791338
2021-07-11,511222.7295512676
2021-07-12,597523.4939823138
2021-07-13,801382.056644668
2021-07-14,888349.5305115893
2021-07-15,700011.0594675725
2021-07-16,333464.8864529895
2021-07-17,10850.084877651912
2021-07-18,264328.67031192564
2021-07-19,405014.4808971144
2021-07-20,770474.0368479728
2021-07-21,731242.9154575032
2021-07-22,528395.5616089227
2021-07-23,262413.9645300264
2021-07-24,218079.41197835095
2021-07-25,192552.1541595846
2021-07-26,520056.12340215774
2021-07-27,638460.6403409471
2021-07-28,656811.244634039
2021-07-29,594438.7467465268
2021-07-30,434381.663335515
2021-07-31,77672.98007742208
2021-08-01,270468.65424405003
2021-08-02,515397.3748852139
2021-08-03,909827.243363836
2021-08-04,872880.0840507768
2021-08-05,585745.0855162272
2021-08-06,470495.9541265977
2021-08-07,175565.100792396
2021-08-08,467148.93509375525
2021-08-09,672811.1497338581
2021-08-10,748432.0445053685
